%um O O 
. O O 
sent O O 
her O O 
to O O 
Taiwa B-GPE B-GPE 

I O O 
had O O 
friends O O 
there O O 
. O O 
She O O 
did O O 
a O O 
course O O 
in O O 
Taiwa B-GPE B-GPE 
and O O 
then O O 
she O O 
came O O 
over O O 
here O O 
, O O 
and O O 
%um O O 
, O O 
checked O O 
out O O 
a O O 
room O O 
here O O 
. O O 
And O O 
so O O 
it O O 
's O O 
and O O 
the O O 
end O O 
semester O O 
is O O 
still O O 
going O O 
. O O 
Of O O 
course O O 
it O O 
ends O O 
on O O 
the B-DATE B-DATE 
twenty I-DATE I-DATE 
second I-DATE I-DATE 
of I-DATE I-DATE 
July I-DATE I-DATE 
. O O 

mhm O O 
. O O 
So O O 
, O O 
%uh O O 
oh O O 
, O O 
yeah O O 
. O O 
things O O 
are O O 
busy O O 
. O O 
yeah O O 
, O O 
gosh O O 
. O O 
yeah O O 
. O O 

You O O 
still O O 
got O O 
another O O 
month B-DATE O 
. O O 
And O O 
then O O 
, O O 
are O O 
you O O 
coming O O 
over O O 
to O O 
the O B-GPE 
States B-GPE I-GPE 
at O O 
all O O 
this B-DATE O 
summer I-DATE O 
? O O 
No O O 
. O O 
No O O 
. O O 
No O O 
, O O 
no O O 
. O O 
%uh O O 

Not O O 
even O O 
Chris B-PERSON B-PERSON 
? O O 
No O O 
, O O 
no O O 
, O O 
no O O 
. O O 
%uh O O 
Not O O 
enough O O 
relatives O O 
left O O 
here O O 
anymore O O 
? O O 
Well O O 
the O O 
relative O O 
scene O O 
is O O 
kind O O 
of O O 
sad O O 
. O O 
You O O 
know O O 
everybody O O 
's O O 
kind O O 
of O O 
passed O O 
away O O 
, O O 
almost O O 
. O O 

yeah O O 
, O O 
I O O 
remember O O 
when O O 
I O O 
talked O O 
to O O 
you O O 
in O O 
the B-DATE O 
fall I-DATE O 
yeah O O 
. O O 
yeah O O 
. O O 
that O O 
%uh O O 
It O O 
's O O 
just O O 
about O O 
oh O O 
did O O 
your O O 
sister O O 
die O O 
? O O 
My O O 
sister O O 
passed O O 
away O O 
, O O 

yeah O O 
. O O 
I O O 
do O O 
n't O O 
know O O 
if O O 
you O O 
spoke O O 
to O O 
me O O 
before O O 
that O O 
or O O 
when O O 
it O O 
was O O 
that O O 
was O O 
happening O O 
. O O 
Or O O 
I O O 
guess O O 
not O O 
When O O 
was O O 
it O O 
? O O 
It O O 
may O O 
have O O 
been O O 
right O O 
after O O 
. O O 

My O O 
father O O 
died O O 
right O O 
after O O 
we O O 
talked O O 
. O O 
oh O O 
god O O 
. O O 
yeah O O 
. O O 
yeah O O 
, O O 
we O O 
're O O 
getting O O 
old O O 
. O O 

No O O 
, O O 
it O O 
's O O 
, O O 
I O O 
do O O 
n't O O 
know O O 
what O O 
it O O 
is O O 
. O O 
It O O 
's O O 
just O O 
, O O 
%uh O O 
, O O 
people O O 
get O O 
sick O O 
, O O 
and O O 
they O O 
get O O 
sick O O 
pretty O O 
young O O 
, O O 
and O O 
, O O 

yeah O O 
. O O 
And O O 
you O O 
know O O 
my O O 
sister O O 
was O O 
n't O O 
that O O 
old O O 
and O O 
she O O 
just O O 
had O O 
bad O O 
luck O O 
I O O 
guess O O 
is O O 
all O O 
you O O 
can O O 
say O O 
. O O 
yeah O O 
. O O 
I O O 
'm O O 
going O O 
to O O 
put O O 
you O O 
on O O 
after O O 
fifteen B-TIME B-TIME 
minutes I-TIME I-TIME 
. O O 

I O O 
've O O 
got O O 
to O O 
And O O 
there O O 
was O O 
n't O O 
anything O O 
anybody O O 
could O O 
do O O 
. O O 
So O O 
. O O 
And O O 
then O O 
an O O 
aunt O O 
of O O 
Chris B-PERSON B-PERSON 
's O O 
Aunt O O 
Mamie B-PERSON O 
up O O 
in O O 
Maine B-GPE B-GPE 
passed O O 
away O O 
. O O 
that O O 
had O O 
n't O O 
happ- O O 
, O O 

had O O 
that O O 
happened O O 
already O O 
? O O 
No O O 
that O O 
had O O 
not O O 
happened O O 
, O O 
no O O 
. O O 
She O O 
passed O O 
away O O 
in O O 
about B-DATE O 
March I-DATE B-DATE 
or O O 
yeah O O 
, O O 
I O O 
think O O 
that O O 
there O O 
was O O 
some O O 
concern O O 
about O O 
her O O 
when O O 
I O O 
talked O O 
to O O 
you O O 
in O O 
September B-DATE B-DATE 
or O O 
October B-DATE B-DATE 
. O O 

yeah O O 
. O O 
No O O 
, O O 
she O O 
was O O 
not O O 
doing O O 
well O O 
. O O 
She O O 
had O O 
a O O 
brain O O 
tumor O O 
. O O 
And O O 
then O O 
they O O 
operated O O 
on O O 
and O O 
things O O 
were O O 
n't O O 
going O O 
well O O 
, O O 

and O O 
. O O 
I O O 
actually O O 
got O O 
to O O 
see O O 
her O O 
I O O 
guess O O 
a O O 
day O O 
before O O 
she O O 
died O O 
. O O 
oh O O 
. O O 
I O O 
mean O O 
she O O 
did O O 
n't O O 
know O O 
that O O 
I O O 
was O O 
there O O 
. O O 
if O O 
that O O 
was O O 
you O O 
, O O 
yeah O O 
. O O 
yeah O O 
, O O 
she O O 
was O O 
just O O 
not O O 
in O O 

So O O 
it O O 
was O O 
a O O 
blessing O O 
, O O 
I O O 
guess O O 
. O O 
But O O 
, O O 
%um O O 
. O O 
Anyway O O 
, O O 
weird O O 
stuff O O 
. O O 
yeah O O 
. O O 
yeah O O 
. O O 

And O O 
how O O 
about O O 
you O O 
? O O 
Because O O 
, O O 
I O O 
r- O O 
oh O O 
I O O 
'm O O 
han- O O 
how O O 
are O O 
your O O 
eyes O O 
? O O 
yeah O O 
. O O 

Well O O 
, O O 
I O O 
do O O 
n't O O 
know O O 
. O O 
I O O 
have O O 
to O O 
go O O 
next B-DATE O 
week I-DATE O 
you O O 
know O O 
to O O 
see O O 
again O O 
. O O 
I O O 
, O O 
%um O O 
, O O 
not O O 
exactly O O 
convinced O O 
that O O 
. O O 
It O O 
's O O 
okay O O 
. O O 
You O O 
know O O 
, O O 
I O O 
'm O O 
not O O 
sure O O 
. O O 
%hm O O 
. O O 

%uh O O 
, O O 
it O O 
's O O 
been O O 
pretty O O 
good O O 
. O O 
It O O 
was O O 
about O O 
eighty B-PERCENT B-PERCENT 
percent I-PERCENT I-PERCENT 
for O O 
a O O 
while O O 
. O O 
And O O 
then O O 
%um O O 
, O O 
I O O 
'm O O 
not O O 
exactly O O 
sure O O 
what O O 
it O O 
is O O 
now O O 
. O O 
But O O 
I O O 
'll O O 
know O O 
in O O 
a B-DATE B-DATE 
couple I-DATE I-DATE 
of I-DATE I-DATE 
days I-DATE I-DATE 
. O O 
So O O 
are O O 
you O O 
having O O 
blurred O O 
vision O O 
? O O 

oh O O 
yeah O O 
, O O 
yeah O O 
. O O 
Sure O O 
. O O 
The O O 
right O O 
eye O O 
is O O 
%uh O O 
, O O 
not O O 
so O O 
great O O 
. O O 
%hm O O 
. O O 
%um O O 
, O O 
and O O 
it O O 
got O O 
back O O 
to O O 
about B-PERCENT B-CARDINAL 
eighty I-PERCENT I-CARDINAL 
percent I-PERCENT I-PERCENT 
. O O 

You O O 
know O O 
it O O 
was O O 
a O O 
detached O O 
retina O O 
. O O 
Right O O 
. O O 
And O O 
then O O 
they O O 
operated O O 
on O O 
it O O 
once O O 
, O O 
and O O 
they O O 
operated O O 
on O O 
it O O 
twice O O 
. O O 
And O O 
, O O 
then O O 
things O O 
seemed O O 
to O O 
be O O 
doing O O 
pretty O O 
well O O 
, O O 

and O O 
at O O 
the O O 
moment O O 
I O O 
'm O O 
%um O O 
, O O 
not O O 
quite O O 
so O O 
sure O O 
. O O 
%hm O O 
. O O 
So O O 
, O O 
who O O 
knows O O 
. O O 
%um O O 
. O O 
%hm O O 
. O O 
But O O 
you O O 
know O O 
it O O 
'll O O 
never O O 
be O O 
more O O 
than O O 
about B-PERCENT B-CARDINAL 
seventy I-PERCENT I-CARDINAL 
or I-PERCENT O 
eighty I-PERCENT B-CARDINAL 
percent I-PERCENT I-CARDINAL 
. O O 
Which O O 
is O O 
fine O O 
. O O 

Eighty B-PERCENT B-CARDINAL 
percent I-PERCENT I-CARDINAL 
is O O 
fantastic O O 
. O O 
Right O O 
. O O 
Right O O 
. O O 
So O O 
we O O 
'll O O 
just O O 
see O O 
. O O 
You O O 
know O O 
%hm O O 
. O O 
we O O 
'll O O 
see O O 
what O O 
happens O O 
. O O 

Frustrating O O 
. O O 
%uh O O 
, O O 
yeah O O 
. O O 
Annoying O O 
. O O 
And O O 
that O O 
thing O O 
that O O 
came O O 
up O O 
recently O O 
, O O 
, O O 
you O O 
know O O 
I O O 
had O O 
, O O 
oh O O 
, O O 
a O O 
kind O O 
of O O 
a O O 
knee O O 
problem O O 
a B-DATE B-DATE 
couple I-DATE I-DATE 
of I-DATE I-DATE 
years I-DATE I-DATE 
ago I-DATE I-DATE 
. O O 
And O O 
my O O 
right O O 
knee O O 
, O O 

and O O 
now O O 
it O O 
's O O 
my O O 
left O O 
knee O O 
. O O 
you O O 
know O O 
, O O 
it O O 
's O O 
just O O 
a O O 
pain O O 
in O O 
the O O 
ass O O 
. O O 
And O O 
yeah O O 
. O O 
%um O O 
, O O 
I O O 
went O O 
to O O 
the O O 
doctor O O 
and O O 
they O O 
do O O 
a O O 
Punktion O O 
. O O 
Ich O O 
weiss O O 
nicht O O 
wer O O 
. O O 
Anyway O O 
they O O 
take O O 
, O O 
%uh O O 
fluid O O 
out O O 
of O O 
it O O 
. O O 

uh-huh O O 
. O O 
And O O 
if O O 
it O O 
gets O O 
irritated O O 
take O O 
some O O 
pills O O 
and O O 
stuff O O 
. O O 
And O O 
, O O 
it O O 
's O O 
just O O 
a O O 
pain O O 
in O O 
the O O 
ass O O 
. O O 
So O O 
it O O 
's O O 
just O O 
, O O 
l- O O 
. O O 
is O O 
that O O 
like O O 
water O O 
on O O 
the O O 
knee O O 
? O O 

Is O O 
that O O 
what O O 
that O O 
is O O 
? O O 
%um O O 
, O O 
well O O 
that O O 
's O O 
what O O 
happens O O 
. O O 
It O O 
develops O O 
because O O 
of O O 
irritation O O 
, O O 
because O O 
of O O 
a O O 
%um O O 
, O O 
inflammation O O 
. O O 
%hm O O 
. O O 
Is O O 
that O O 
from O O 
the O O 
running O O 
? O O 

And O O 
how O O 
the O O 
inflammation O O 
d- O O 
yeah O O 
, O O 
maybe O O 
. O O 
I O O 
mean O O 
they O O 
do O O 
n't O O 
know O O 
. O O 
mhm O O 
. O O 

They O O 
do O O 
n't O O 
It O O 
just O O 
came O O 
overnight B-TIME O 
practically O O 
. O O 
Wow O O 
. O O 
%um O O 
, O O 
and O O 
%uh O O 
, O O 
we O O 
'd O O 
been O O 
up O O 
in O O 
Berlin B-GPE B-GPE 
and O O 
we O O 
had O O 
a O O 
big O O 
trip O O 
up O O 
there O O 
and O O 
did O O 
a O O 
lot O O 
of O O 
walking O O 
, O O 
a O O 
lot O O 
of O O 
fast O O 
walking O O 
and O O 
stuff O O 
. O O 

But O O 
you O O 
know O O 
, O O 
I O O 
mean O O 
that O O 
mhm O O 
. O O 
should O O 
n't O O 
be O O 
a O O 
big O O 
deal O O 
. O O 
%um O O 
Was O O 
this O O 
last O O 
crop O O 
of O O 
**Tuftees** O O 
good O O 
? O O 
So O O 
. O O 
Was O O 
your O O 
last O O 
crop O O 
of O O 
students O O 
from O O 
Tufts B-ORG B-ORG 
good O O 
? O O 
How O O 
's O O 
that O O 
? O O 

well O O 
they O O 
're O O 
still O O 
here O O 
. O O 
Right O O 
, O O 
but O O 
they O O 
're O O 
winding O O 
down O O 
, O O 
so O O 
you O O 
know O O 
them O O 
really O O 
well O O 
by O O 
this O O 
point O O 
. O O 
They O O 
're O O 
winding O O 
down O O 
. O O 
yeah O O 
, O O 

they O O 
're O O 
very O O 
good O O 
. O O 
they O O 
learned O O 
a O O 
lot O O 
of O O 
German B-LANGUAGE B-LANGUAGE 
. O O 
They O O 
learned O O 
an O O 
amazing O O 
amount O O 
of O O 
German B-LANGUAGE B-LANGUAGE 
. O O 
Before O O 
I O O 
forget O O 
, O O 
I O O 
saw O O 
George B-PERSON B-PERSON 
Silinas I-PERSON I-PERSON 
a B-DATE B-DATE 
couple I-DATE I-DATE 
of I-DATE I-DATE 
days I-DATE I-DATE 
ago I-DATE I-DATE 
. O O 
oh O O 
. O O 
How O O 
's O O 
he O O 
doing O O 
? O O 

And O O 
he O O 
's O O 
had O O 
Well O O 
he O O 
's O O 
working O O 
for O O 
an O O 
American B-NORP B-NORP 
firm O O 
over O O 
here O O 
, O O 
and O O 
he O O 
's O O 
doing O O 
very O O 
very O O 
well O O 
. O O 
%um O O 
, O O 
and O O 
his O O 
wife O O 
just O O 
had O O 
their O O 
fourth B-ORDINAL B-ORDINAL 
child O O 
. O O 
Wow O O 
. O O 

A O O 
little O O 
boy O O 
. O O 
Benjamin B-PERSON B-PERSON 
. O O 
yeah O O 
. O O 
Wow O O 
. O O 
%um O O 
, O O 
about B-DATE B-DATE 
, I-DATE I-DATE 
%uh I-DATE I-DATE 
, I-DATE O 
two I-DATE I-DATE 
weeks I-DATE I-DATE 
ago I-DATE I-DATE 
maybe O O 
. O O 
%huh O O 
. O O 

Tops O O 
. O O 
And O O 
I O O 
got O O 
a O O 
card O O 
from O O 
, O O 
you O O 
remember O O 
Amy B-PERSON B-PERSON 
Gleason I-PERSON I-PERSON 
? O O 
yeah O O 
. O O 
yeah O O 
. O O 

Well O O 
she O O 
just O O 
had O O 
a O O 
baby O O 
a O O 
couple O O 
of O O 
heard O O 
that O O 
. O O 
Well O O 
this O O 
is O O 
number O B-CARDINAL 
two B-CARDINAL B-CARDINAL 
. O O 
okay O O 
. O O 
I O O 
just O O 
got O O 
a O O 
card O O 
from O O 
Ron B-PERSON B-PERSON 
and O O 
Doris B-PERSON B-PERSON 
, O O 

oh O O 
. O O 
and O O 
they O O 
see O O 
Amy B-PERSON B-PERSON 
Gleason I-PERSON I-PERSON 
on O O 
occasion O O 
. O O 
And O O 
so O O 
I O O 
think O O 
they O O 
told O O 
me O O 
that O O 
. O O 
yeah O O 
. O O 
Have O O 
you O O 
heard O O 
from O O 
Ron B-PERSON B-PERSON 
and O O 
Doris B-PERSON B-PERSON 
? O O 

Not O O 
in O O 
a O O 
while O O 
, O O 
no O O 
. O O 
They O O 
are O O 
now O O 
living O O 
in O O 
Rhode B-GPE B-GPE 
Island I-GPE I-GPE 
. O O 
You O O 
probably O O 
knew O O 
that O O 
. O O 
Well O O 
. O O 
yeah O O 
. O O 
And O O 
she O O 
's O O 
teaching O O 
at O O 
U B-ORG B-ORG 
R I-ORG I-ORG 
I I-ORG O 
. O O 

yeah O O 
. O O 
And O O 
it O O 
was O O 
a O O 
very O O 
nice O O 
letter O O 
, O O 
because O O 
it O O 
sounded O O 
like O O 
she O O 
went O O 
through O O 
very O O 
similar O O 
things O O 
that O O 
I O O 
did O O 
. O O 
You O O 
know O O 
, O O 
I O O 
went O O 
from O O 
Chicago B-GPE B-GPE 
to O O 
U B-ORG B-GPE 
C I-ORG I-GPE 
S I-ORG I-GPE 
G I-ORG I-GPE 
to O O 
here O O 
. O O 
Right O O 
. O O 
And O O 
it O O 
's O O 
just O O 
such O O 
an O O 
intellectual O O 
letdown O O 
. O O 

Right O O 
. O O 
And O O 
she O O 
went O O 
from O O 
Penn B-ORG B-ORG 
, O O 
%um O O 
To O O 
Columbia B-ORG B-ORG 
. O O 
to O O 
Columbia B-ORG B-ORG 
to O O 
U B-ORG B-ORG 
R I-ORG I-GPE 
I I-ORG I-FAC 
. O O 
Well O O 
Columbia B-ORG B-ORG 
's O O 
okay O O 
. O O 
yeah O O 
. O O 
And O O 
she O O 
said O O 
the O O 
students O O 
are O O 
just O O 
, O O 

you O O 
know O O 
, O O 
they O O 
do O O 
n't O O 
care O O 
, O O 
and O O 
they O O 
're O O 
not O O 
very O O 
good O O 
, O O 
and O O 
all O O 
of O O 
a O O 
sudden O O 
she O O 
's O O 
getting O O 
conference O O 
papers O O 
rejected O O 
and O O 
she O O 
thinks O O 
it O O 
's O O 
the O O 
affiliation O O 
. O O 
yeah O O 
. O O 

Because O O 
she O O 
does O O 
n't O O 
think O O 
the O O 
quality O O 
of O O 
her O O 
work O O 
has O O 
changed O O 
. O O 
Now O O 
I O O 
have O O 
n't O O 
submitted O O 
a O O 
conference O O 
paper O O 
with O O 
the O O 
Missouri B-ORG B-GPE 
%um O O 
, O O 
you O O 
know O O 
, O O 
affiliation O O 
yet O O 
. O O 
Because O O 
the O O 
last O O 
one O O 
I O O 
submitted O O 
, O O 
%um O O 
, O O 
was O O 
in O O 
the O O 
fall O O 
, O O 
and O O 
I O O 
still O O 
had O O 
my O O 
San B-ORG B-GPE 
Diego I-ORG I-GPE 
affiliation O O 
. O O 
yeah O O 
. O O 

%um O O 
, O O 
in O O 
fact O O 
I O O 
'm O O 
still O O 
officially O O 
on O O 
leave O O 
. O O 
If O O 
anything O O 
came O O 
up O O 
in O O 
the B-DATE O 
next I-DATE O 
year I-DATE O 
we O O 
could O O 
still O O 
go O O 
back O O 
. O O 
uh-huh O O 
. O O 
%uh O O 
you O O 
know O O 
, O O 
for O O 
Sam B-PERSON O 
. O O 
Wow O O 
. O O 
But O O 
I O O 
think O O 
it O O 
's O O 
very O O 
very O O 
very O O 
very O O 
yeah O O 
. O O 
unlikely O O 
. O O 
yeah O O 
. O O 

But O O 
at O O 
any O O 
rate O O 
it O O 
was O O 
nice O O 
to O O 
hear O O 
from O O 
her O O 
because O O 
she O O 
said O O 
after B-DATE O 
two I-DATE O 
years I-DATE O 
there O O 
now O O 
, O O 
she O O 
%um O O 
has O O 
come O O 
to O O 
terms O O 
with O O 
this O O 
, O O 
and O O 
yeah O O 
. O O 
she O O 
's O O 
accepted O O 
that O O 
there O O 
's O O 
a O O 
lot O O 
of O O 
good O O 
things O B-NORP 
in O O 
Rhode B-GPE B-GPE 
Island I-GPE I-GPE 
. O O 
And O O 
, O O 
%um O O 
, O O 
you O O 
know O O 
, O O 
their O O 
life O O 
is O O 
a O O 
lot O O 
less O O 
complicated O O 
, O O 
and O O 
she O O 
has O O 
more O O 
time O O 
to O O 
be O O 
a O O 
parent O O 
. O O 
yeah O O 
. O O 

Good O O 
. O O 
And O O 
she O O 
's O O 
just O O 
not O O 
going O O 
to O O 
have O O 
the O O 
same O O 
kind O O 
of O O 
career O O 
that O O 
she O O 
had O O 
thought O O 
about O O 
. O O 
Ron B-PERSON B-PERSON 
is O O 
working O O 
as O O 
a O O 
financial O O 
consultant O O 
for O O 
, O O 
%um O O 
, O O 
Meryl B-ORG B-PERSON 
Lynch I-ORG I-PERSON 
. O O 
And O O 
he O O 
oh O O 
. O O 

yeah O O 
, O O 
he O O 
had O O 
been O O 
doing O O 
work O O 
for O O 
some O O 
environmental O O 
firm O O 
, O O 
as O O 
a O O 
consultant O O 
. O O 
uh-huh O O 
. O O 
And O O 
, O O 
it O O 
did O O 
n't O O 
work O O 
out O O 
. O O 
%um O O 
He O O 
was O O 
changing O O 
projects O O 
every B-DATE O 
couple I-DATE I-DATE 
of I-DATE I-DATE 
weeks I-DATE I-DATE 
and O O 
he O O 
said O O 
he O O 
could O O 
n't O O 
keep O O 
on O O 
top O O 
of O O 
it O O 
. O O 

He O O 
could O O 
n't O O 
learn O O 
the O O 
whole O O 
new O O 
area O O 
%mm O O 
. O O 
that O O 
fast O O 
each O O 
time O O 
. O O 
%mm O O 
. O O 
%um O O 
, O O 
and O O 
he O O 
says O O 
he O O 
went O O 
in O O 
and O O 
had O O 
some O O 
tests O O 
, O O 
and O O 
he O O 
was O O 
diagnosed O O 
as O O 
having O O 
attention O O 
deficit O O 
disorder O O 
. O O 
Which O O 
you O O 
know O O 
, O O 
given O O 
how O O 
far O O 
he O O 
's O O 
gotten O O 
, O O 
you O O 
know O O 
, O O 
he O O 
got O O 
his O O 
degree O O 
at O O 
Tufts B-ORG B-ORG 
and O O 
all O O 
, O O 
I O O 
found O O 
that O O 
surprising O O 
that O O 
for O O 
the O O 
first B-ORDINAL O 
time O O 
as O O 
an O O 
adult O O 
they O O 
're O O 
diagnosing O O 
this O O 
. O O 
%um O O 

%mm O O 
. O O 
I O O 
wonder O O 
about O O 
it O O 
. O O 
But O O 
anyway O O 
. O O 
yeah O O 
, O O 
but O O 
that O O 
's O O 
what O O 
he O O 
said O O 
. O O 
And O O 
%um O O 

yeah O O 
. O O 
He O O 
%um O O 
Whatever O O 
's O O 
helpful O O 
. O O 
Right O O 
. O O 
So O O 
he O O 
found O O 
this O O 
new O O 
job O O 
as O O 
a O O 
financial O O 
consultant O O 
and O O 
seems O O 
to O O 
be O O 
happy O O 
with O O 
that O O 
. O O 

Good O O 
. O O 
And O O 
then O O 
we O O 
saw O O 
Leo B-PERSON B-PERSON 
and O O 
Julie B-PERSON B-PERSON 
at O O 
Christmas B-DATE B-EVENT 
time O O 
. O O 
uh-huh O O 
. O O 
And O O 
they O O 
're O O 
doing O O 
great O O 
. O O 
%um O O 
, O O 
they O O 
had O O 
just O O 
moved O O 
to O O 
He O O 
's O O 
in O O 
New B-GPE B-GPE 
York I-GPE I-GPE 
now O O 
, O O 
right O O 
? O O 
a O O 
really O O 
nice O O 
house O O 
in O O 
Westchester B-GPE B-LOC 
. O O 

yeah O O 
, O O 
Good O O 
. O O 
an O O 
older O O 
home O O 
that O O 
you O O 
know O O 
Julie B-PERSON B-PERSON 
is O O 
of O O 
course O O 
carving O O 
up O O 
and O O 
making O O 
beautiful O O 
. O O 
%um O O 
uh-huh O O 
. O O 
Now O O 
she O O 
had O O 
a O O 
job O O 
with O O 
an O O 
architectural O O 
group O O 
when O O 
she O O 
first O O 
got O O 
out O O 
to O O 
New B-GPE B-GPE 
York I-GPE I-GPE 
, O O 
and O O 
that O O 
did O O 
n't O O 
work O O 
out O O 
. O O 
She O O 
said O O 
they O O 
had O O 
her O O 
doing O O 
things O O 
that O O 
she O O 
really O O 
was O O 
n't O O 
qualified O O 
to O O 
do O O 
%ah O O 
. O O 
and O O 
that O O 
she O O 
really O O 
did O O 
n't O O 
feel O O 
competent O O 
doing O O 
. O O 

And O O 
, O O 
they O O 
mutually O O 
agreed O O 
that O O 
she O O 
should O O 
leave O O 
. O O 
And O O 
so O O 
she O O 
was O O 
looking O O 
for O O 
another O O 
job O O 
. O O 
And O O 
, O O 
%um O O 
, O O 
I O O 
'm O O 
sure O O 
she O O 
'll O O 
find O O 
one O O 
. O O 
She O O 
's O O 
so O O 
talented O O 
. O O 
She O O 
may O O 
have O O 
found O O 
one O O 
by O O 
now O O 
. O O 
%um O O 

yeah O O 
, O O 
oh O O 
yeah O O 
. O O 
Amazing O O 
, O O 
yeah O O 
. O O 
yeah O O 
, O O 

and O O 
so O O 
we O O 
met O O 
, O O 
%um O O 
, O O 
%uh O O 
Adrian B-PERSON B-PERSON 
, O O 
their O O 
kid O O 
, O O 
who O O 
was O O 
three B-DATE B-CARDINAL 
uh-huh O O 
. O O 
and O O 
just O O 
a O O 
really O O 
lovely O O 
little O O 
boy O O 
. O O 
He O O 
's O O 
so O O 
big O O 
. O O 
Well O O 
, O O 
, O O 
Leo B-PERSON B-PERSON 
's O O 
big O O 
. O O 
You O O 
know O O 
, O O 
he O O 
's O O 
got O O 
Leo B-PERSON B-PERSON 
's O O 
genes O O 
. O O 
yeah O O 
. O O 

yeah O O 
. O O 
And O O 
%uh O O 
Ron B-PERSON B-PERSON 
and O O 
Doris B-PERSON B-PERSON 
sent O O 
us O O 
a O O 
picture O O 
of O O 
theirs O O 
and O O 
he O O 
has O O 
Ron B-PERSON B-PERSON 
's O O 
expressions O O 
. O O 
He O O 
really O O 
looks O O 
like O O 
Ron B-PERSON B-PERSON 
. O O 
oh O O 
that O O 
's O O 
life O O 
. O O 

%um O O 
, O O 
and O O 
he O O 
looked O O 
really O O 
big O O 
too O O 
. O O 
In O O 
this O O 
picture O O 
, O O 
he O O 
's O O 
three B-CARDINAL B-DATE 
and I-CARDINAL I-DATE 
a I-CARDINAL I-DATE 
half I-CARDINAL I-DATE 
. O O 
yeah O O 
. O O 
%huh O O 
. O O 
%um O O 
, O O 
but O O 
Leo B-PERSON B-PERSON 
and O O 
Julie B-PERSON B-PERSON 
just O O 
seemed O O 
, O O 
%um O O 
sort O O 
of O O 
happy O O 
with O O 
the O O 
decisions O O 
they O O 
've O O 
made O O 
. O O 

Good O O 
. O O 
%um O O 
, O O 
like O O 
every O O 
now O O 
is O O 
he O O 
with O O 
a O O 
publishing O O 
house O O 
now O O 
? O O 
Which O O 
one O O 
is O O 
he O O 
with O O 
. O O 
Yes O O 
which O O 
one O O 
%um O O 

Well O O 
I O O 
can O O 
It O O 
's O O 
one O O 
of O O 
these O O 
sort O O 
of O O 
universi- O O 
the O O 
public O O 
university O O 
book O O 
stuff O O 
. O O 
It O O 
might O O 
be O O 
Hard B-ORG O 
Core I-ORG O 
Brace I-ORG O 
. O O 
I O O 
'm O O 
not O O 
sure O O 
. O O 
oh O O 
yeah O O 
. O O 

I O O 
have O O 
two B-CARDINAL B-CARDINAL 
friends O O 
in O O 
publishing O O 
. O O 
It O O 
may O O 
be O O 
the O O 
other O O 
one O O 
that O O 
just O O 
took O O 
the O O 
job O O 
with O O 
Hard B-ORG B-WORK_OF_ART 
Core I-ORG O 
Brace I-ORG O 
I O O 
do O O 
n't O O 
remember O O 
which O O 
one O O 
. O O 
yeah O O 
. O O 
Anyway O O 
, O O 
